runner_id,model_name,dataset_name,regularization,regularization_param,timestamp,quantization_method,criterion_name,optimizer_name,verbose,train_loss,test_loss,train_accuracy,test_accuracy,epoch_train_losses,epoch_test_losses,iterations,lr,device,batch_size,seed,pretrained,num_epochs,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb
ishapira,resnet18,CIFAR-10,l1,0.1,2023-11-18_14-07-58,,,,,2.30258504737854,2.302584997558594,10.0,10.0,,,,0.001,cuda:0,256,42,False,20.0,11172042,1386.303015952697,1.8520058269496076,0.000664366118144244,-0.0006526572396978736,42.617958068847656
ishapira,lenet,FashionMNIST,l1,0.005,2023-11-19_14-52-54,,CrossEntropyLoss,Adam,True,2.302586584599813,2.3025865989685057,10.0,10.0,"[2.3025864702860512, 2.302586379114787, 2.3025854577382407, 2.3025883483886718, 2.3025861377716064, 2.302586182785034, 2.302585926691691, 2.302586613845825, 2.3025884638468423, 2.302585484313965, 2.3025862115224203, 2.302587538019816, 2.3025854948679605, 2.3025872053782144, 2.3025859361012775, 2.302587037150065, 2.302587371444702, 2.302587777201335, 2.3025911032358803, 2.302586584599813]","[2.3025864528656004, 2.3025863761901855, 2.3025854175567626, 2.302588344192505, 2.302586137008667, 2.302586224746704, 2.302585920333862, 2.302586646270752, 2.3025884506225585, 2.3025855278015137, 2.302586169052124, 2.3025875289916993, 2.3025854732513427, 2.302587205886841, 2.3025858993530273, 2.3025871044158936, 2.302587301635742, 2.3025877906799317, 2.3025910873413085, 2.3025865989685057]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,5.471433705999516,0.06794297843589447,0.003674910170957446,-0.002610615687444806,0.16947174072265625
ishapira,lenet,MNIST,l2,0.001,2023-11-18_19-25-21,,CrossEntropyLoss,Adam,True,0.03147182580083609,0.03704652084317058,99.08333333333333,98.75,"[0.16866016573111217, 0.10811090284983317, 0.07621317119995753, 0.07906328702171643, 0.06338806123336156, 0.04800134160916011, 0.0588832867304484, 0.04341511000941197, 0.039478645627200604, 0.038874982605377834, 0.0430290774444739, 0.04815406796932221, 0.032813927112023036, 0.03935447888423999, 0.03402934924165408, 0.030195147622625033, 0.03836039262761672, 0.03500832805434863, 0.030965398402015367, 0.03147182580083609]","[0.1561870591402054, 0.09754151374101638, 0.06861268707923592, 0.07411297109574079, 0.05803146595619619, 0.04476439497359097, 0.05655554189179093, 0.04453040442503989, 0.039562581598758695, 0.0411871492959559, 0.04985552194043994, 0.050467174009233715, 0.03585081312712282, 0.04417590189240873, 0.03723287984207273, 0.033984760591574015, 0.04406053802957758, 0.03703268235102296, 0.0356424145616591, 0.03704652084317058]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,990.1242638081312,18.061125453561544,0.5941080451011658,-0.4753252863883972,0.16947174072265625
ishapira,resnet18,CIFAR-10,dropout,0.5,2023-11-18_13-56-45,,,,,0.24736562006950377,1.0432341145515442,93.258,69.31,,,,0.001,cuda:0,256,42,False,20.0,11172042,294857.03354144096,556.0683057904243,0.5974403619766235,-0.6121756434440613,42.617958068847656
ishapira,resnet18,CIFAR-10,l1,0.0001,2023-11-18_14-24-31,,,,,0.6100809313583374,0.851880104637146,78.748,70.91,,,,0.001,cuda:0,256,42,False,20.0,11172042,5299.7338790893555,69.85376786440611,0.6455270051956177,-0.5246355533599854,42.617958068847656
ishapira,lenet,MNIST,l1,0.0002,2023-11-19_13-32-42,,CrossEntropyLoss,Adam,True,0.036932291607062025,0.04116917059421539,98.91333333333333,98.73,"[0.16533353722492855, 0.0906640928943952, 0.08509370973904927, 0.07017408903837204, 0.07125451557040215, 0.07116798740625381, 0.05582474693457286, 0.05520042382677396, 0.051304611315329866, 0.04559153201878071, 0.047528730185826616, 0.05459681623280049, 0.045668576836586, 0.043516524892052016, 0.036390776851276556, 0.03591519325176875, 0.03805372090041637, 0.035720689117908475, 0.03338738904297352, 0.036932291607062025]","[0.14986269313693046, 0.07963260768353939, 0.0756101294413209, 0.06476562220193445, 0.06419070813655853, 0.07235955500304699, 0.05484526140987873, 0.050695701651275155, 0.04775629422105849, 0.04451626438014209, 0.04371557759493589, 0.053581894406676295, 0.04551031896993518, 0.045503945281356574, 0.03683526780605316, 0.03634760481826961, 0.040120440005138515, 0.03884728760719299, 0.03700786458104849, 0.04116917059421539]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,425.66822230117396,19.471667870413512,0.7552593946456909,-0.6778911352157593,0.16947174072265625
itaishapira,lenet,FashionMNIST,layer_norm,,2023-11-07_08-20-22,,,,,0.16913218270142874,0.30660979795455934,93.795,89.74,,,,0.001,cpu,256,42,,10.0,137536,13392.076154053211,157.83708056807518,1.5042169094085693,-1.1718072891235352,0.524658203125
itaishapira,lenet,MNIST,l2,0.01,2023-11-06_18-31-51,,,,,0.22844345496495566,0.20882551426887513,93.44833333333334,94.13,,,,0.001,cpu,256,42,,2.0,128576,628.7048829495907,13.426828354597092,0.3480238914489746,-0.36463555693626404,0.490478515625
alexo,lenet,MNIST,l2,0.01,2023-11-18_11-38-57,dynamic_quantization,,,,0.2284434318780899,0.2088254928588867,93.44833333333334,94.13,,,,0.001,cpu,256,42,False,,252175,1111.024173438549,23.886438250541687,1.0,-0.36463555693626404,0.24785995483398438
alexo,lenet,MNIST,l2,0.01,2023-11-18_11-34-25,static_quantization,,,,0.22844343381722768,0.2088254928588867,93.44833333333334,94.13,,,,0.001,cpu,256,42,False,,249627,1009.6607636660337,16.972830399870872,0.24289776384830475,-0.1816416233778,0.23814010620117188
