total_weights,runner_id,model_name,dataset_name,regularization,regularization_param,timestamp,bit_width,model_size_mb,criterion_name,optimizer_name,verbose,train_loss,test_loss,train_accuracy,test_accuracy,epoch_train_losses,epoch_test_losses,iterations,lr,device,batch_size,seed,pretrained,num_epochs,path,quantization_method,bit_16_path,bit_16_train_loss,bit_16_test_loss,bit_16_train_accuracy,bit_16_test_accuracy,bit_4_path,bit_4_train_loss,bit_4_test_loss,bit_4_train_accuracy,bit_4_test_accuracy,bit_8_path,bit_8_train_loss,bit_8_test_loss,bit_8_train_accuracy,bit_8_test_accuracy,bit_2_path,bit_2_train_loss,bit_2_test_loss,bit_2_train_accuracy,bit_2_test_accuracy,lr_scheduler
274042.0,ishapira,resnet20,CIFAR-10,l_infinty,1.0,2023-11-27_20-46-49,32.0,1.0394058227539062,CrossEntropyLoss,SGD,True,0.6742525911712647,0.914573108291626,76.818,67.53,"[1.9866828249359132, 1.8339197479629517, 1.7542735522842408, 1.6891182137680054, 1.6287217630004882, 1.573442967300415, 1.5199319590759277, 1.474899917678833, 1.439116837158203, 1.3987299328231813, 1.3720886956787108, 1.3336297721099855, 1.302677738571167, 1.2722613312530517, 1.2648482681274413, 1.220473570137024, 1.2210468085098267, 1.177598376045227, 1.1557492233657838, 1.1361075172805786, 1.1275732290267944, 1.094294608478546, 1.0847632732772827, 1.0627552324295044, 1.037383782081604, 1.0174812878799437, 1.0055632547187805, 0.9830967679214477, 0.9746018911361695, 0.9844842872238159, 0.9734635134696961, 0.9460645823860169, 0.9336205627059937, 0.9051703005218505, 0.8924183386230469, 0.8819588637161255, 0.8864773452377319, 0.8836567318916321, 0.8414577223205566, 0.8322605403327942, 0.820612088470459, 0.8097412538528442, 0.8043619128608703, 0.8169698138809204, 0.7730442353057861, 0.7818030290794372, 0.7707770194625855, 0.7671789618301391, 0.745944195098877, 0.7324456315231324, 0.7071174982452393, 0.7040449647331238, 0.7031295873069763, 0.7023365827560425, 0.7023996165657044, 0.6992789107894898, 0.7006554984664917, 0.697724788017273, 0.6975468574905396, 0.6955993890380859, 0.6938652380371094, 0.6923260505867005, 0.6897433195877075, 0.6905074085807801, 0.688499298324585, 0.6864246398544311, 0.6877379647445678, 0.6856344273757935, 0.6858134562492371, 0.6854434160232544, 0.681085745601654, 0.6806823542404175, 0.6789080387496949, 0.6773702909469604, 0.6797840982818604, 0.6760448098945617, 0.6760580832099915, 0.6757625274276733, 0.6822065886306763, 0.6748099368858338, 0.6769382889175415, 0.6763683430862427, 0.6743336780929565, 0.674590870475769, 0.6750662562942504, 0.6737549855995179, 0.6742004175186157, 0.674068124923706, 0.675564819278717, 0.6740728317642212, 0.6733191973686218, 0.6740471824455261, 0.6751198910713195, 0.6744209519004821, 0.6726164255905152, 0.6731347879219055, 0.6753133857917786, 0.6731089869117737, 0.6754951881408692, 0.6742525911712647]","[1.9873677198410034, 1.8356733034133912, 1.7571141876220704, 1.693129670524597, 1.634607041168213, 1.5802459510803222, 1.5282759332656861, 1.4864171606063843, 1.4520461891174317, 1.4181880207061768, 1.392488348197937, 1.3586836977005006, 1.3332986301422118, 1.3048860847473145, 1.3006955713272095, 1.2615672494888306, 1.265165231513977, 1.227133547782898, 1.2088208581924438, 1.1902187187194824, 1.1810207092285157, 1.153334281349182, 1.1525896842956542, 1.1345280290603639, 1.111151424217224, 1.0929208250045777, 1.0863066024780272, 1.069231072807312, 1.0636873867034913, 1.0793870840072632, 1.0680084688186646, 1.050565075302124, 1.0352193115234376, 1.0137245307922362, 1.0046017217636107, 1.0001982625961303, 1.0125958336830139, 1.0119583042144775, 0.9764315536499023, 0.9721206650733948, 0.9626926482200623, 0.9592751300811767, 0.9543550505638122, 0.9780437582969665, 0.9421874208450317, 0.9573020829200745, 0.955266157913208, 0.950798333644867, 0.9389860993385315, 0.9355847175598144, 0.9168693882942199, 0.916473763179779, 0.916374962425232, 0.914791267490387, 0.9174800133705139, 0.9137557682991028, 0.9163872730255127, 0.9165577776908874, 0.9146049279212952, 0.915332549571991, 0.9150902415275574, 0.913693450164795, 0.9153506413459778, 0.9161516274452209, 0.9148717211723327, 0.9139683924674987, 0.9166300225257874, 0.9128144459724427, 0.9147679393768311, 0.9134332785606384, 0.9151644185066223, 0.9136259709358215, 0.9141564228057861, 0.9145719120025635, 0.9154941046714783, 0.9131087637901306, 0.9142306114196778, 0.9134109168052673, 0.9185325310707092, 0.9132545453071594, 0.9139284245491028, 0.9138948801994323, 0.912766318321228, 0.9133865671157837, 0.9128480746269226, 0.9136892679214478, 0.9124349761962891, 0.9126506202697754, 0.9125718712806702, 0.9124963874816895, 0.913397234916687, 0.9134922356605529, 0.9137715999603272, 0.9135625844955444, 0.9118771383285522, 0.9122628311157227, 0.9143862582206727, 0.9136606886863708, 0.9174368322372437, 0.914573108291626]",39100.0,0.0001,cuda:0,128.0,42.0,False,100.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet20_CIFAR-10_l_infinty_1.0_2023-11-27_20-46-49,none,,,,,,,,,,,,,,,,,,,,,
44426.0,ishapira,lenet,FashionMNIST,l2,0.0002,2023-11-19_15-03-30,,,CrossEntropyLoss,Adam,True,0.21256586416562398,0.29054305746555326,92.16,89.49,"[0.5445979571978251, 0.4756178892612457, 0.3908861725489299, 0.36126121207873024, 0.3361450630187988, 0.32150726477305097, 0.31081320730845136, 0.2982129644870758, 0.28811981301307676, 0.26849398636023203, 0.2657845329284668, 0.2560086855649948, 0.26381490624745685, 0.24076874405543008, 0.2426384998957316, 0.23921396540006, 0.2300187018553416, 0.21789613421758017, 0.22706859740416208, 0.21256586416562398]","[0.5654205120086669, 0.49326787276268, 0.41672302141189577, 0.39091175022125246, 0.36846271181106566, 0.3561614312648773, 0.3477112181663513, 0.3408739142894745, 0.3318803342819214, 0.31318063817024233, 0.31721822113990783, 0.30840632972717286, 0.3219976098060608, 0.3032706536769867, 0.30405885360240936, 0.31233455376625063, 0.29793502271175387, 0.2925885509967804, 0.29607885303497317, 0.29054305746555326]",4700.0,0.001,cuda:0,256.0,42.0,False,20.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l2_0.0002_2023-11-19_15-03-30,none,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l2_0.0002_2023-11-19_15-03-30/PTQ_bit_16,0.2125658537864685,0.2905432473182678,92.13333333333334,89.55,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l2_0.0002_2023-11-19_15-03-30/PTQ_bit_4,0.21256585323810578,0.2905432473182678,87.19666666666667,85.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l2_0.0002_2023-11-19_15-03-30/PTQ_bit_8,0.21256585487524668,0.2905432473182678,92.165,89.38,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l2_0.0002_2023-11-19_15-03-30/PTQ_bit_2,0.21256585414409637,0.2905432473182678,19.618333333333332,19.59,
,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
11172042.0,ishapira,resnet18,CIFAR-10,l2,0.03163,2023-12-01_13-32-26,32.0,42.617958068847656,CrossEntropyLoss,SGD,True,1.6617807876586914,1.655912413406372,46.10341999999999,46.0647,"[2.2724648210144043, 2.2392649324035645, 2.190501206665039, 2.1195852465057374, 2.026724972305298, 1.9456058101654052, 1.890076777572632, 1.8391448690795897, 1.8013101064300536, 1.7621417292022705, 1.7421746426010132, 1.7348345416641235, 1.7221933492660522, 1.714386990890503, 1.7039552435684204, 1.693829153060913, 1.6944280031585692, 1.6968916231918334, 1.6876672724151611, 1.6868964100646973, 1.6789957455444335, 1.6779924502944947, 1.677931929283142, 1.6766466427993774, 1.6725672201156616, 1.684064920272827, 1.678159222946167, 1.6807441891098023, 1.678282223854065, 1.6719088107681275, 1.6726217398834229, 1.6760806838989257, 1.67413933467865, 1.6750081369781493, 1.6836848147583008, 1.6693505673599243, 1.6732519356536866, 1.6835939263534545, 1.6729194360351562, 1.6699392514801026, 1.6673315594100953, 1.6700463116836548, 1.6716018042373657, 1.673577147140503, 1.6689727431869508, 1.6723953262710571, 1.6677646269989013, 1.6735704077911377, 1.6660264083480836, 1.671655691757202, 1.6646346845245361, 1.6646075206756592, 1.664388496208191, 1.6640498288345338, 1.6640473641967772, 1.6638871823120118, 1.6645870431518555, 1.6645567763519287, 1.663389154586792, 1.6633206786727905, 1.6645387173080444, 1.6635599021148681, 1.6633457482528686, 1.663725495300293, 1.6628290894317628, 1.6652648291015626, 1.662705262374878, 1.662742904624939, 1.6626379816436767, 1.6635799496459962, 1.6631822997665404, 1.6636598589324951, 1.6623735019302368, 1.6629375240325928, 1.6628935496902466, 1.6620147826385498, 1.661996541481018, 1.6619768857574464, 1.6619502271652222, 1.6619480352020264, 1.6620251413345337, 1.6619221692276, 1.6619434394073487, 1.6619111142349243, 1.6619012606430055, 1.6619029095077515, 1.6618909872817993, 1.6618711688995362, 1.6618609439468384, 1.661917657470703, 1.661862539291382, 1.661851215171814, 1.6618364472198486, 1.661844104385376, 1.6618100052261353, 1.6618219673919679, 1.66181958568573, 1.6618148699188233, 1.6617822873687744, 1.6617807876586914]","[2.2719068786621093, 2.237969542312622, 2.1879032810211183, 2.1151667905807496, 2.0212275899887087, 1.9390708150863647, 1.8834199619293213, 1.8310095306396483, 1.792214104270935, 1.7528310892105103, 1.73295678730011, 1.726094091796875, 1.7135153526306153, 1.7052004459381103, 1.695661284828186, 1.685328492164612, 1.686036149597168, 1.687565892791748, 1.6795348691940308, 1.6781332361221313, 1.6713438501358033, 1.6711840171813965, 1.6694193349838258, 1.6695365119934082, 1.6653188520431519, 1.6755883884429932, 1.6715552732467651, 1.6737264556884766, 1.6717003757476807, 1.6648929847717284, 1.66526736869812, 1.6679123348236085, 1.6670807573318482, 1.6687832748413085, 1.6766192914962768, 1.6625202369689942, 1.6677387241363526, 1.6761121006011963, 1.6671516374588013, 1.662652212333679, 1.6610960973739624, 1.6630771171569825, 1.6661127307891845, 1.6662744678497314, 1.661929168701172, 1.6672267078399658, 1.6619329830169678, 1.6678839483261108, 1.6599442380905152, 1.6650222709655762, 1.658640612602234, 1.6583738464355469, 1.6585595977783203, 1.658063169670105, 1.6578973104476928, 1.6577447589874268, 1.6581482486724854, 1.6581077590942384, 1.657452446937561, 1.6572724514007569, 1.6591627151489259, 1.6572845903396607, 1.6571289403915406, 1.6582557676315308, 1.656967487716675, 1.6599575006484986, 1.6566442867279052, 1.6569874202728272, 1.656504248046875, 1.658129397201538, 1.656778391456604, 1.6580298400878906, 1.6565819368362427, 1.657378452682495, 1.6573138330459596, 1.6560426229476928, 1.6560815956115722, 1.6559995191574097, 1.6559956308364867, 1.6560652284622193, 1.6560241130828857, 1.6559924139022828, 1.6559420936584472, 1.6559555561065673, 1.6559437437057496, 1.6559193485260009, 1.6559274206161498, 1.6559294136047362, 1.6559542100906373, 1.6559132453918457, 1.6559452810287476, 1.6559817699432373, 1.6559475910186767, 1.6558652578353883, 1.65590357131958, 1.655939510345459, 1.6559704986572266, 1.6558430877685546, 1.6558844623565674, 1.655912413406372]",39100.0,0.0001,cuda:0,128.0,42.0,False,100.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_l2_0.03163_2023-12-01_13-32-26,none,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_l2_0.03163_2023-12-01_13-32-26/bit_width_16,1.661782459373474,1.655911011505127,46.32122,45.8832,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_l2_0.03163_2023-12-01_13-32-26/bit_width_4,1.6617825017929078,1.655911011505127,35.1868,35.8765,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_l2_0.03163_2023-12-01_13-32-26/bit_width_8,1.6617824572372437,1.655911011505127,46.265559999999994,45.8832,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_l2_0.03163_2023-12-01_13-32-26/bit_width_2,1.6617824642944337,1.655911011505127,10.0,10.0,
44426.0,ishapira,lenet,MNIST,l_infinty,0.01,2023-11-19_15-24-41,,,CrossEntropyLoss,Adam,True,0.012930506441245477,0.04092483487362042,99.53333333333333,98.85,"[0.15627394468784334, 0.08294431770245234, 0.06802114845116933, 0.04935415320396423, 0.05327322353521983, 0.03588357636431853, 0.02968076592683792, 0.029822876805067063, 0.023677393342057863, 0.024715321619808675, 0.01913918522670865, 0.017574221959461768, 0.015230927389363448, 0.011961873173216979, 0.011724168827012181, 0.017166666724470755, 0.009095303621143103, 0.011049213441306105, 0.006795442104836305, 0.012930506441245477]","[0.1409383296251297, 0.07099316438958049, 0.05629950804822147, 0.04576698255427182, 0.049502171850576995, 0.03701595236174762, 0.032858395369583744, 0.037688029075041415, 0.03395082436541561, 0.03945828010118566, 0.03145906267537502, 0.031174667379970197, 0.02983567429209943, 0.02909867811727454, 0.03125709612793289, 0.03976459575172048, 0.029562749124363474, 0.03308426263456058, 0.03102753918758317, 0.04092483487362042]",4700.0,0.001,cuda:0,256.0,42.0,False,20.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l_infinty_0.01_2023-11-19_15-24-41,none,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l_infinty_0.01_2023-11-19_15-24-41/PTQ_bit_16,0.012926581969608863,0.04091866249088198,99.535,98.86,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l_infinty_0.01_2023-11-19_15-24-41/PTQ_bit_4,0.01292658169468244,0.04091866249088198,98.65,98.01,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l_infinty_0.01_2023-11-19_15-24-41/PTQ_bit_8,0.012926581710887453,0.04091866249088198,99.54,98.86,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l_infinty_0.01_2023-11-19_15-24-41/PTQ_bit_2,0.012926581879208485,0.04091866249088198,71.7,72.7,
44426.0,ishapira,lenet,MNIST,l1,0.001,2023-11-18_18-40-04,,,CrossEntropyLoss,Adam,True,0.07784860464334488,0.07323124676346779,97.61166666666666,97.68,"[0.27880276387532554, 0.17006226944128672, 0.13984875510931016, 0.14273973226149878, 0.11685490039189657, 0.10825991241137187, 0.10727693824768067, 0.10475962688128153, 0.101613860587279, 0.09328721878528595, 0.0992658926864465, 0.0866543523311615, 0.09233620018164317, 0.08624755606651306, 0.09335619865457218, 0.0910210173557202, 0.08483460804224015, 0.08470196880896887, 0.08081367122332254, 0.07784860464334488]","[0.26641718484163285, 0.15252062709927558, 0.12893406230211257, 0.12931743620634079, 0.10304665446281433, 0.1017937189385295, 0.09663057926297187, 0.0966013168424368, 0.09327937916219234, 0.08499993021339178, 0.08970586819648743, 0.07799519576728343, 0.08384191104918719, 0.07802625220865012, 0.086508990123868, 0.08528945273160934, 0.08042503170371056, 0.08221095396578312, 0.0768792164772749, 0.07323124676346779]",4700.0,0.001,cuda:0,256.0,42.0,False,20.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l1_0.001_2023-11-18_18-40-04,none,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l1_0.001_2023-11-18_18-40-04/PTQ_bit_16,0.07784645458857219,0.07322926560044289,97.625,97.73,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l1_0.001_2023-11-18_18-40-04/PTQ_bit_4,0.07784645431141059,0.07322926560044289,95.685,95.65,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l1_0.001_2023-11-18_18-40-04/PTQ_bit_8,0.07784645456075669,0.07322926560044289,97.63333333333334,97.78,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l1_0.001_2023-11-18_18-40-04/PTQ_bit_2,0.0778464541931947,0.07322926560044289,35.60333333333333,36.56,
44426.0,ishapira,lenet,FashionMNIST,dropout,0.3,2023-11-19_13-44-15,,,CrossEntropyLoss,Adam,True,0.23824197760423024,0.2795752012491226,91.335,89.86,"[0.5723217621803284, 0.467386488421758, 0.4294304908275604, 0.37538347957928975, 0.35168990912437437, 0.32905619708697004, 0.32220994300047556, 0.30249797592957817, 0.29739750946362814, 0.28558524432182314, 0.28406894850730896, 0.2751221225897471, 0.26641734267870587, 0.25832508153915407, 0.2580858404318492, 0.2536136327425639, 0.2509670487721761, 0.24945944852034252, 0.24100783134301504, 0.23824197760423024]","[0.5921452784538269, 0.4871962504386902, 0.4523266574382782, 0.39808398566246034, 0.37602164430618285, 0.3579709284543991, 0.35242984223365786, 0.33367511115074155, 0.33023021097183225, 0.3200075388669968, 0.31597862701416013, 0.30981415696144105, 0.3009528952598572, 0.2946916605472565, 0.2959793817281723, 0.29443994753360747, 0.2900762031078339, 0.2882104909658432, 0.28180771462917326, 0.2795752012491226]",4700.0,0.001,cuda:0,256.0,42.0,False,20.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_dropout_0.3_2023-11-19_13-44-15,none,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_dropout_0.3_2023-11-19_13-44-15/PTQ_bit_16,0.23824197754859924,0.2795752012491226,91.33166666666666,89.92,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_dropout_0.3_2023-11-19_13-44-15/PTQ_bit_4,0.23824197773933412,0.2795752012491226,86.03833333333333,85.35,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_dropout_0.3_2023-11-19_13-44-15/PTQ_bit_8,0.23824197743733724,0.2795752012491226,91.28833333333333,89.97,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_dropout_0.3_2023-11-19_13-44-15/PTQ_bit_2,0.23824197854200999,0.2795752012491226,10.0,10.0,
274042.0,ishapira,resnet20,CIFAR-10,l1,0.001,2023-11-27_20-48-21,32.0,1.0394058227539062,CrossEntropyLoss,SGD,True,0.4606046418762207,0.893531951713562,85.89,69.31,"[1.9858949904632568, 1.831830811843872, 1.7507761190795899, 1.68473448513031, 1.622183491744995, 1.5631712952423096, 1.5093534881210326, 1.4632151988983155, 1.4277468631744386, 1.381267127609253, 1.3592922505950928, 1.3120784130096435, 1.2766879961395263, 1.2503293515014648, 1.24728384349823, 1.1916443654251099, 1.1938080604553223, 1.1500653675079346, 1.1243132313728332, 1.097413473930359, 1.0956682278442382, 1.0485804475593568, 1.040338640975952, 1.0223241107940675, 0.9969749525642395, 0.9647157746696472, 0.939593412284851, 0.91890704164505, 0.9062338748168945, 0.9187511922264099, 0.8970005958747864, 0.8826320743942261, 0.8510187986373902, 0.822871312789917, 0.8280473645401001, 0.8141184071731568, 0.7986365005111694, 0.7945515517044067, 0.790520256767273, 0.7815947577857971, 0.7597583546066284, 0.7644984867858887, 0.7383290392112732, 0.700084733581543, 0.6698703827095032, 0.7190446303939819, 0.7337867785072326, 0.6611079042625427, 0.6177785912704468, 0.6408846383285522, 0.5359679883766174, 0.5306355484008789, 0.5270977984523774, 0.5247213471603394, 0.5221934688472748, 0.5178079489135742, 0.5191538928318024, 0.517430329580307, 0.5101773350906372, 0.5084404210472107, 0.5078740849876404, 0.5029059205245971, 0.501218188381195, 0.5015709786128998, 0.49617742852211, 0.4920985774993896, 0.4915288341617584, 0.49015423254013063, 0.4876328581047058, 0.48360710485458375, 0.486748719997406, 0.4834141254234314, 0.47597971219062807, 0.47329813774108886, 0.4807260499763489, 0.46571506660461426, 0.4654724933052063, 0.46644600720405577, 0.4722100327682495, 0.4639057725524902, 0.46654669404983523, 0.46446487442970275, 0.46439113015174865, 0.4642986869907379, 0.46468300599098206, 0.4620109538078308, 0.4628464305973053, 0.4623106900691986, 0.46392798895835874, 0.46257913873672485, 0.46234644515991213, 0.4627545878601074, 0.46258008398056033, 0.46194103896141053, 0.46115971908569336, 0.46071942167282104, 0.46273068758010866, 0.4610828310775757, 0.46316831354141236, 0.4606046418762207]","[1.9866537965774536, 1.8335479391098022, 1.7536088890075683, 1.6891025117874146, 1.6279103740692138, 1.5704477548599243, 1.518533518218994, 1.4759709445953368, 1.4421295642852783, 1.4023129371643066, 1.382091152381897, 1.3403228580474853, 1.3099286169052125, 1.2862489364624023, 1.287781432914734, 1.234199429512024, 1.2422988401412964, 1.2049614027023317, 1.1829240549087525, 1.158142692756653, 1.1564042686462401, 1.1163431848526002, 1.1164089836120605, 1.1021943365097047, 1.0837827945709229, 1.0492886991500854, 1.0327985666275024, 1.0202073308944701, 1.0131434475898742, 1.0341671453475951, 1.0120120189666748, 1.0101512042999268, 0.9715116947174073, 0.9569489764213562, 0.9668135663986206, 0.9615810480117798, 0.9593547477722167, 0.9589008889198303, 0.9630516944885253, 0.968349426651001, 0.957937000656128, 0.9669291446685792, 0.9513193120956421, 0.9309266973495484, 0.9168083808898926, 0.9690208456039429, 1.0159043500900269, 0.93363861246109, 0.9055475727081299, 0.9421682470321655, 0.8685834432601929, 0.8723722706794739, 0.8718290348052978, 0.8682578724861145, 0.8724172092437744, 0.8701857014656067, 0.876958889579773, 0.8795508934974671, 0.8726233302116394, 0.8788490831375122, 0.88146339635849, 0.8783771211624145, 0.8798935327529908, 0.8838318872451782, 0.8838523310661316, 0.8820237776756287, 0.8853566368103027, 0.8875406005859375, 0.8868160159111023, 0.8869687781333924, 0.8958320774078369, 0.8914521171569825, 0.8890723101615906, 0.8926150897026062, 0.9044331350326538, 0.8889639720916748, 0.8901504681587219, 0.8897847644805909, 0.8929847608566284, 0.8897833540916443, 0.8926955367088318, 0.8899505611419678, 0.8893765289306641, 0.8897481393814087, 0.8892341526985168, 0.8912644144058227, 0.8903024315834045, 0.8903256420135498, 0.8908860200881958, 0.8903560877799988, 0.8914349201202393, 0.8907233213424682, 0.8909554267883301, 0.8912205944061279, 0.890415976524353, 0.8911465691566467, 0.8928959623336792, 0.8917253422737121, 0.8963369714736938, 0.893531951713562]",39100.0,0.0001,cuda:0,128.0,42.0,False,100.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet20_CIFAR-10_l1_0.001_2023-11-27_20-48-21,none,,,,,,,,,,,,,,,,,,,,,
44426.0,ishapira,lenet,FashionMNIST,l1,0.005,2023-11-19_14-52-54,,,CrossEntropyLoss,Adam,True,2.302586584599813,2.3025865989685057,10.0,10.0,"[2.3025864702860512, 2.302586379114787, 2.3025854577382407, 2.3025883483886718, 2.3025861377716064, 2.302586182785034, 2.302585926691691, 2.302586613845825, 2.3025884638468423, 2.302585484313965, 2.3025862115224203, 2.302587538019816, 2.3025854948679605, 2.3025872053782144, 2.3025859361012775, 2.302587037150065, 2.302587371444702, 2.302587777201335, 2.3025911032358803, 2.302586584599813]","[2.3025864528656004, 2.3025863761901855, 2.3025854175567626, 2.302588344192505, 2.302586137008667, 2.302586224746704, 2.302585920333862, 2.302586646270752, 2.3025884506225585, 2.3025855278015137, 2.302586169052124, 2.3025875289916993, 2.3025854732513427, 2.302587205886841, 2.3025858993530273, 2.3025871044158936, 2.302587301635742, 2.3025877906799317, 2.3025910873413085, 2.3025865989685057]",4700.0,0.001,cuda:0,256.0,42.0,False,20.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l1_0.005_2023-11-19_14-52-54,none,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l1_0.005_2023-11-19_14-52-54/PTQ_bit_16,2.302586583073934,2.3025865989685057,10.0,10.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l1_0.005_2023-11-19_14-52-54/PTQ_bit_4,2.3025865957895917,2.3025865989685057,10.0,10.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l1_0.005_2023-11-19_14-52-54/PTQ_bit_8,2.302586550649007,2.3025865989685057,10.0,10.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l1_0.005_2023-11-19_14-52-54/PTQ_bit_2,2.302586575826009,2.3025865989685057,10.0,10.0,
44426.0,ishapira,lenet,MNIST,l2,0.001,2023-11-18_19-25-21,,,CrossEntropyLoss,Adam,True,0.03147182580083609,0.03704652084317058,99.08333333333333,98.75,"[0.16866016573111217, 0.10811090284983317, 0.07621317119995753, 0.07906328702171643, 0.06338806123336156, 0.04800134160916011, 0.0588832867304484, 0.04341511000941197, 0.039478645627200604, 0.038874982605377834, 0.0430290774444739, 0.04815406796932221, 0.032813927112023036, 0.03935447888423999, 0.03402934924165408, 0.030195147622625033, 0.03836039262761672, 0.03500832805434863, 0.030965398402015367, 0.03147182580083609]","[0.1561870591402054, 0.09754151374101638, 0.06861268707923592, 0.07411297109574079, 0.05803146595619619, 0.04476439497359097, 0.05655554189179093, 0.04453040442503989, 0.039562581598758695, 0.0411871492959559, 0.04985552194043994, 0.050467174009233715, 0.03585081312712282, 0.04417590189240873, 0.03723287984207273, 0.033984760591574015, 0.04406053802957758, 0.03703268235102296, 0.0356424145616591, 0.03704652084317058]",4700.0,0.001,cuda:0,256.0,42.0,False,20.0,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l2_0.001_2023-11-18_19-25-21,none,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l2_0.001_2023-11-18_19-25-21/PTQ_bit_16,0.03147029196023941,0.03704352492298931,99.08666666666667,98.75,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l2_0.001_2023-11-18_19-25-21/PTQ_bit_4,0.03147029152214527,0.03704352492298931,98.8,98.31,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l2_0.001_2023-11-18_19-25-21/PTQ_bit_8,0.03147029182513555,0.03704352492298931,99.085,98.77,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l2_0.001_2023-11-18_19-25-21/PTQ_bit_2,0.03147029181420803,0.03704352492298931,82.93333333333334,83.26,
