runner_id,model_name,dataset_name,regularization,regularization_param,timestamp,quantization_method,criterion_name,optimizer_name,verbose,train_loss,test_loss,train_accuracy,test_accuracy,epoch_train_losses,epoch_test_losses,iterations,lr,device,batch_size,seed,pretrained,num_epochs,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb,path,lr_scheduler
ishapira,lenet,FashionMNIST,l2,0.0002,2023-11-19_15-03-30,,CrossEntropyLoss,Adam,True,0.21256586416562398,0.29054305746555326,92.16,89.49,"[0.5445979571978251, 0.4756178892612457, 0.3908861725489299, 0.36126121207873024, 0.3361450630187988, 0.32150726477305097, 0.31081320730845136, 0.2982129644870758, 0.28811981301307676, 0.26849398636023203, 0.2657845329284668, 0.2560086855649948, 0.26381490624745685, 0.24076874405543008, 0.2426384998957316, 0.23921396540006, 0.2300187018553416, 0.21789613421758017, 0.22706859740416208, 0.21256586416562398]","[0.5654205120086669, 0.49326787276268, 0.41672302141189577, 0.39091175022125246, 0.36846271181106566, 0.3561614312648773, 0.3477112181663513, 0.3408739142894745, 0.3318803342819214, 0.31318063817024233, 0.31721822113990783, 0.30840632972717286, 0.3219976098060608, 0.3032706536769867, 0.30405885360240936, 0.31233455376625063, 0.29793502271175387, 0.2925885509967804, 0.29607885303497317, 0.29054305746555326]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,1950.0730789899826,30.852724224328995,0.6771116256713867,-0.582834780216217,0.16947174072265625,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_FashionMNIST_l2_0.0002_2023-11-19_15-03-30,
ishapira,resnet18,CIFAR-10,l_infinty,0.001,2023-11-18_15-14-25,,,,,0.08228482166290284,1.608766020965576,97.286,69.38,,,,0.001,cuda:0,256,42,False,20.0,11172042,305703.54352784157,570.4744926691055,0.5386362075805664,-0.5496589541435242,42.617958068847656,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_l_infinty_0.001_2023-11-18_15-14-25,
ishapira,resnet18,CIFAR-10,l_infinty,0.001,2023-11-20_13-55-05,dynamic_quantization,,,,0.08227848361968994,1.6087905699729919,97.29,69.38,,,,0.001,cuda:0,256,42,False,,11177153,305897.6065979004,574.8317437171936,1.0,-0.5496589541435242,42.608158111572266,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_l_infinty_0.001_2023-11-18_15-14-25,
ishapira,resnet18,CIFAR-10,none,,2023-11-18_13-45-34,,,,,0.07689098008155823,1.5548721128463745,97.512,70.28,,,,0.001,cuda:0,256,42,False,20.0,11679912,307789.4666557312,604.619668841362,0.5943582653999329,-1.1360790729522705,44.555328369140625,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_none_None_2023-11-18_13-45-34,
ishapira,resnet18,CIFAR-10,dropout,0.5,2023-11-20_01-00-00,,CrossEntropyLoss,SGD,True,0.000777371323518455,1.7656762271881103,100.0,73.11,"[1.8175229510879516, 1.6415546838378907, 1.5122976429748536, 1.5215281191253662, 1.3317982848358154, 1.2763380240631104, 1.349254956626892, 1.1749776940917969, 1.1721267358779908, 1.0800755398178101, 1.0777768898010254, 1.0344420080947876, 1.0008632586860657, 0.9796709414863587, 0.8906172798538208, 0.9229258681106567, 0.8411385973739623, 0.8353850587272644, 0.8225869549179077, 0.7802548324966431, 0.7441689777755738, 0.7312181165504456, 0.7063498121643066, 0.677037139377594, 0.6384733674621582, 0.6498035106658936, 0.5553009199905395, 0.5858895070457458, 0.5423526419258118, 0.5004008345794678, 0.46609717267990114, 0.4639609791660309, 0.4328140905189514, 0.4419549217891693, 0.3786162661552429, 0.39287591028213503, 0.32737809372901916, 0.3173748325061798, 0.3104683671855927, 0.27666204661369326, 0.2664840212345123, 0.22883372215270997, 0.2869039638710022, 0.22839680163383483, 0.21315153220176697, 0.1713118570995331, 0.18778427700519562, 0.16594521755218505, 0.14438027164697648, 0.17346275496959687, 0.18016157542705535, 0.18396959817886352, 0.11325065145015717, 0.08526270842313767, 0.09901386174678803, 0.08898698701381684, 0.10382628814458847, 0.07610795490026474, 0.10086748631954193, 0.09072873096942902, 0.09446900232315064, 0.09350986148834228, 0.04980324399113655, 0.06835303365826607, 0.04815839575767517, 0.06426463591098786, 0.06189040915131569, 0.10346063665390015, 0.06786303148508072, 0.03342477019488811, 0.057915851604938506, 0.030485191830396653, 0.03210878840327263, 0.03592004393041134, 0.08657763896465301, 0.01036652040541172, 0.006953796735107899, 0.005426808766126633, 0.004559706452935934, 0.003995536961555481, 0.003433294621258974, 0.003118722039349377, 0.0028413529129326346, 0.0026195456820726393, 0.0024229819083958866, 0.0022428384585678578, 0.0020853866275399925, 0.0019710689252614975, 0.0018653048383817077, 0.0017749699872732162, 0.0016867467402666807, 0.001610267282538116, 0.0015396060090512038, 0.0014768466279283165, 0.0014172899517416954, 0.001358769090399146, 0.0013070319948531688, 0.0012623526926338674, 0.0012199067252874375, 0.0011808215686678887, 0.001139848950151354, 0.0011044315776601434, 0.0010760638244450092, 0.0010378325422108173, 0.001011953718578443, 0.0009829174906015397, 0.0009556092208996415, 0.0009291558019071817, 0.000910741234086454, 0.0008881172384694218, 0.0008628214189037681, 0.0008440409237891436, 0.0008414876565337182, 0.0008392793964967131, 0.0008372639763727784, 0.0008350252503156662, 0.0008333764881454408, 0.0008315166868641973, 0.0008294301034882665, 0.0008273297058045865, 0.0008251976396329701, 0.0008232525045797229, 0.0008217600711248815, 0.000820139523781836, 0.0008185182516276836, 0.000816762996390462, 0.0008152571132406593, 0.0008134041789267212, 0.0008120081619359553, 0.0008101558651402592, 0.0008083965816907585, 0.0008065021618828178, 0.0008051735847443342, 0.000803407412841916, 0.0008017952064052225, 0.0007997321129217744, 0.0007978565000370145, 0.0007960867133364082, 0.0007944667042978108, 0.0007928250537067652, 0.000791264181304723, 0.0007896092187054455, 0.0007878249877132476, 0.0007865590878203511, 0.0007850692908093333, 0.0007835645786114037, 0.0007823002183437348, 0.0007806794865243137, 0.000778920047422871, 0.000777371323518455]","[1.8124959991455079, 1.6445429134368896, 1.5229376611709595, 1.5357216255187989, 1.3586181804656983, 1.3075802129745484, 1.3856583530426025, 1.2264792186737061, 1.2283996019363403, 1.1446355514526367, 1.146531028175354, 1.1182120586395263, 1.094443023300171, 1.0880074836730957, 1.0120592651367188, 1.0532126274108886, 0.9927957946777344, 0.992179681968689, 0.9876844049453736, 0.9671098056793213, 0.9523604647636413, 0.9463269625663757, 0.9361439421653748, 0.9289546945571899, 0.9146463089942932, 0.930352733707428, 0.8734338229179383, 0.9080648574829101, 0.896112993812561, 0.8884585513114929, 0.8700862567901612, 0.8860984678268433, 0.8804199974060058, 0.904261584854126, 0.8729750058174134, 0.9056190421104431, 0.888217593383789, 0.895333243560791, 0.908095648574829, 0.9343542633056641, 0.9434175790786743, 0.9586387758255005, 1.0269806427001953, 0.9843542427062988, 1.0026051486968994, 1.0058512981414796, 1.0498010749816895, 1.0413153091430665, 1.0349529258728027, 1.1085527154922485, 1.121274538230896, 1.143817625617981, 1.1016086072921754, 1.1357838232040405, 1.1117742376327515, 1.1593475456237794, 1.1534616956710815, 1.171716635131836, 1.2155631834030152, 1.2464603424072265, 1.2351530996322633, 1.2366651487350464, 1.2725178451538086, 1.3247421020507812, 1.3265965454101563, 1.3237197843551636, 1.2795817478179932, 1.4842506820678711, 1.4043709465026855, 1.4093190788269043, 1.3441385473251344, 1.424873634338379, 1.3838516212463379, 1.4251032440185547, 1.4613039527893066, 1.375924520111084, 1.4014476707458496, 1.4311296142578125, 1.4539751358032227, 1.4758872638702392, 1.4901355922698976, 1.5068783042907714, 1.5210319301605224, 1.5352634197235107, 1.5499826713562013, 1.5616728435516358, 1.5761171741485596, 1.5856553909301758, 1.5963769245147705, 1.604315280532837, 1.6127829864501952, 1.6212637256622315, 1.6298869567871093, 1.6380343551635743, 1.647474739074707, 1.6542090255737305, 1.6622221416473388, 1.6699443672180176, 1.6762881679534911, 1.6829247158050538, 1.6897307376861572, 1.6959526752471923, 1.7026772525787353, 1.7088658138275146, 1.7138078269958497, 1.7182450103759765, 1.7236094772338868, 1.728964154434204, 1.7336723289489746, 1.7379679458618165, 1.7463242179870606, 1.7486014072418212, 1.7494574588775635, 1.7500268287658691, 1.7505421661376954, 1.7511756065368653, 1.7515491065979003, 1.7519707107543945, 1.752541773223877, 1.7530825248718263, 1.753519571685791, 1.7540496757507325, 1.754174709701538, 1.7545555252075196, 1.754772050857544, 1.75529070854187, 1.7555414966583252, 1.7561771213531494, 1.7564042465209961, 1.7571005672454834, 1.7575942626953125, 1.7581779663085937, 1.7586753692626953, 1.7589633644104004, 1.7593885845184327, 1.760071870803833, 1.7605943367004395, 1.7610539554595948, 1.7613760391235351, 1.7616218158721924, 1.7622799942016603, 1.7627756702423096, 1.7632260772705077, 1.7634330932617188, 1.7637828224182128, 1.7639916507720947, 1.7643373485565186, 1.7646987281799316, 1.7651434741973877, 1.7656762271881103]",58650.0,0.001,cuda:0,128,42,False,150.0,11172042,222367.99770498276,375.5179079771042,0.6910154819488525,-0.5030449628829956,42.617958068847656,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_dropout_0.5_2023-11-20_01-00-00,
ishapira,resnet18,CIFAR-10,dropout,0.5,2023-11-20_13-39-46,dynamic_quantization,,,,0.8304726348686218,2.6359827140808108,59.894,44.76,,,,0.001,cuda:0,256,42,False,,11177153,222601.7596435547,379.6264305114746,1.0,-0.5030449628829956,42.608158111572266,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_dropout_0.5_2023-11-20_01-00-00,
ishapira,lenet,MNIST,l_infinty,0.01,2023-11-19_15-24-41,,CrossEntropyLoss,Adam,True,0.012930506441245477,0.04092483487362042,99.53333333333333,98.85,"[0.15627394468784334, 0.08294431770245234, 0.06802114845116933, 0.04935415320396423, 0.05327322353521983, 0.03588357636431853, 0.02968076592683792, 0.029822876805067063, 0.023677393342057863, 0.024715321619808675, 0.01913918522670865, 0.017574221959461768, 0.015230927389363448, 0.011961873173216979, 0.011724168827012181, 0.017166666724470755, 0.009095303621143103, 0.011049213441306105, 0.006795442104836305, 0.012930506441245477]","[0.1409383296251297, 0.07099316438958049, 0.05629950804822147, 0.04576698255427182, 0.049502171850576995, 0.03701595236174762, 0.032858395369583744, 0.037688029075041415, 0.03395082436541561, 0.03945828010118566, 0.03145906267537502, 0.031174667379970197, 0.02983567429209943, 0.02909867811727454, 0.03125709612793289, 0.03976459575172048, 0.029562749124363474, 0.03308426263456058, 0.03102753918758317, 0.04092483487362042]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,2701.288292467594,34.74766896665096,0.541990339756012,-0.47388097643852234,0.16947174072265625,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l_infinty_0.01_2023-11-19_15-24-41,
ishapira,lenet,MNIST,l_infinty,0.01,2023-11-20_10-25-30,dynamic_quantization,,,,0.012930505743374426,0.040924830102268606,99.53333333333333,98.85,,,,0.001,cuda:0,256,42,False,,85855,5135.334054648876,60.87338116765022,1.0,-0.4720226526260376,0.08924484252929688,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l_infinty_0.01_2023-11-19_15-24-41,
ishapira,resnet18,CIFAR-10,l2,0.002,2023-11-20_05-49-46,,CrossEntropyLoss,SGD,True,0.014364314572513104,1.2122727281570436,99.998,74.51,"[1.6134368811798097, 1.416875506477356, 1.2823421313476562, 1.2367421680450439, 1.0866621290206908, 1.03712616897583, 1.0048088659858703, 0.9519846859359741, 0.8845429054260254, 0.8710079174423218, 0.8628532284164429, 0.7923052864074707, 0.7886122051811219, 0.7227495671463012, 0.776581991443634, 0.693725752696991, 0.7054293337345123, 0.6522680559539795, 0.6500328937149048, 0.6435069543075561, 0.6318428427124023, 0.5508213521575928, 0.5719739737701416, 0.5948339612007141, 0.5448457909202575, 0.4923835696029663, 0.4739554319858551, 0.43183486023902895, 0.451674322719574, 0.44849219680786134, 0.43913674697875976, 0.3980958918952942, 0.3979787678718567, 0.44379967233657835, 0.33164298173904416, 0.34434251967430113, 0.3303394315814972, 0.2930041492652893, 0.2601118222618103, 0.252814032869339, 0.25175363801956174, 0.2676176081562042, 0.20808043444156646, 0.24189521951675416, 0.2498849447822571, 0.2636859258556366, 0.1703622427225113, 0.175572950630188, 0.15367858068943024, 0.20068372286319733, 0.14723411546707155, 0.17873290106773376, 0.14334926404476167, 0.14289912521600723, 0.10526876153707504, 0.11799948040723801, 0.1300000276517868, 0.1354628737974167, 0.1064714890742302, 0.13727701408147813, 0.18634803238391875, 0.09713652615785599, 0.10991741375923157, 0.08340541212081909, 0.08992166936159134, 0.0733529648387432, 0.068923718419075, 0.07684900531530381, 0.07548655564069748, 0.0917765277671814, 0.08632626272916794, 0.0774043119096756, 0.06730965800762176, 0.07938444587945938, 0.08675249813318253, 0.02070643552184105, 0.016873436074256898, 0.015220257486701012, 0.014306536528170108, 0.01359798522502184, 0.013186633331179618, 0.012839084909558296, 0.012739546984732151, 0.012561400544047356, 0.012473776042461394, 0.012324207022786141, 0.012371597741246224, 0.012347593768835067, 0.012293614691793919, 0.01242811564579606, 0.012346686906218528, 0.012425923671424388, 0.012471579495370389, 0.012557437099218369, 0.012653024532496929, 0.012678418401181698, 0.012754978893697262, 0.012975777299404145, 0.012996529514193535, 0.01311297810614109, 0.013107478158771991, 0.013212387709319592, 0.013336480535268784, 0.013402752608656884, 0.013592246835529804, 0.01357769542992115, 0.013720582056939603, 0.013743653237223626, 0.0139433237606287, 0.013960972322821617, 0.014059838158488274, 0.014132782338261604, 0.014029061146378518, 0.014017071030437946, 0.014027185871899129, 0.014030257930457592, 0.014041724008321762, 0.014047297484278678, 0.014052814507484437, 0.014061140990853309, 0.014074156537353992, 0.014079916686415672, 0.014092750317454338, 0.014102162994146347, 0.014111814135909081, 0.014126410348713397, 0.014129418277144432, 0.014141092428863048, 0.014152795222997665, 0.014159838493168354, 0.01417316375374794, 0.014178872202038765, 0.014189130702614784, 0.014201072851121425, 0.014207417178452015, 0.014220703454017639, 0.014228315708041192, 0.014248063523173333, 0.014250985242128372, 0.01426269268721342, 0.014270019184350967, 0.014281794526278972, 0.014288826892971992, 0.014298724337816239, 0.014306350003182889, 0.014317984462380409, 0.014332075892090797, 0.014338089010715484, 0.014349048656523228, 0.014364314572513104]","[1.614982684135437, 1.4252954452514648, 1.3049373584747315, 1.268362299823761, 1.1392885183334351, 1.0972407819747925, 1.0754562338829041, 1.0384284821510315, 0.9899523971557617, 0.9858960874557495, 0.9855271041870117, 0.938068971157074, 0.946053341293335, 0.894226582813263, 0.9644202053070068, 0.8930976410865784, 0.9268639007568359, 0.8927173948287964, 0.8917847346305847, 0.9054601859092712, 0.9037712368965148, 0.844575793838501, 0.8842337455749512, 0.9192515995025635, 0.8995728338241578, 0.8415638765335083, 0.8577055046081543, 0.8364401319503784, 0.8668383255004882, 0.8950500997543335, 0.9177542501449585, 0.8684033079147339, 0.8905654044151307, 0.9725571657180786, 0.8654656036376953, 0.893261279964447, 0.9228431170463562, 0.894985168170929, 0.9104776720046998, 0.9084290781021118, 0.9397304944038392, 0.9673756525039673, 0.9574697278976441, 1.0101811702728272, 1.0170968601226806, 1.0323347234725953, 1.0060389877319336, 1.0470060861587525, 1.0321573412895202, 1.0814971315383912, 1.0662473854064942, 1.0906691749572754, 1.1067864009857178, 1.1045463294982911, 1.0844249473571776, 1.0468470029830932, 1.1102613004684447, 1.151357007408142, 1.126939155960083, 1.2275906951904296, 1.2594011644363403, 1.1251031551361084, 1.1737274676322937, 1.1897482856750488, 1.1694105710983276, 1.1604279623031617, 1.2025886211395265, 1.170718557357788, 1.2170038219451904, 1.179617639541626, 1.2012666350841523, 1.234487917137146, 1.2227289653778075, 1.2439734119415282, 1.2258440887451172, 1.1437585140228272, 1.1659899353027343, 1.1833655082702637, 1.1944678512573241, 1.2039734615325928, 1.2083475801467896, 1.2142219453811645, 1.2174127450942993, 1.220125319480896, 1.2201058727264404, 1.2225466299057006, 1.2218894634246826, 1.2234510845184325, 1.2211273010253907, 1.2224806829452515, 1.2217556816101074, 1.2227422388076783, 1.2211776056289674, 1.2193703458786012, 1.2201323799133301, 1.2210437282562256, 1.2192425441741943, 1.2172611169815064, 1.2160983360290527, 1.2172314584732056, 1.2171991910934448, 1.2144642988204957, 1.2142980388641358, 1.2137172342300415, 1.21378179397583, 1.2137983798980714, 1.213871714782715, 1.2123325735092163, 1.2096889280319214, 1.2121362087249756, 1.210864089012146, 1.2119052040100098, 1.211413769721985, 1.211553021621704, 1.2117764614105224, 1.2118677431106568, 1.2118636795043944, 1.2121450862884522, 1.2120426723480224, 1.2122789045333862, 1.2122750438690186, 1.212214532852173, 1.212288835144043, 1.2124711103439332, 1.2124233280181884, 1.2120383779525756, 1.2123353895187379, 1.2124213012695313, 1.2122234647750854, 1.2122813690185548, 1.212406362915039, 1.212432488822937, 1.2123120971679688, 1.2120912134170532, 1.2120052932739258, 1.2123741966247559, 1.2120788789749146, 1.2125165271759033, 1.2123543781280517, 1.2121865825653075, 1.2122710134506225, 1.212156580734253, 1.2121668071746827, 1.2118716785430907, 1.2119586561203004, 1.2119777799606324, 1.2120516077041625, 1.2121960376739502, 1.212134377861023, 1.2122727281570436]",58650.0,0.001,cuda:0,128,42,False,150.0,11172042,70209.86016690731,133.07291665673256,0.25554710626602173,-0.2134149670600891,42.617958068847656,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_resnet18_CIFAR-10_l2_0.002_2023-11-20_05-49-46,
ishapira,lenet,MNIST,l1,0.001,2023-11-18_18-40-04,,CrossEntropyLoss,Adam,True,0.07784860464334488,0.07323124676346779,97.61166666666666,97.68,"[0.27880276387532554, 0.17006226944128672, 0.13984875510931016, 0.14273973226149878, 0.11685490039189657, 0.10825991241137187, 0.10727693824768067, 0.10475962688128153, 0.101613860587279, 0.09328721878528595, 0.0992658926864465, 0.0866543523311615, 0.09233620018164317, 0.08624755606651306, 0.09335619865457218, 0.0910210173557202, 0.08483460804224015, 0.08470196880896887, 0.08081367122332254, 0.07784860464334488]","[0.26641718484163285, 0.15252062709927558, 0.12893406230211257, 0.12931743620634079, 0.10304665446281433, 0.1017937189385295, 0.09663057926297187, 0.0966013168424368, 0.09327937916219234, 0.08499993021339178, 0.08970586819648743, 0.07799519576728343, 0.08384191104918719, 0.07802625220865012, 0.086508990123868, 0.08528945273160934, 0.08042503170371056, 0.08221095396578312, 0.0768792164772749, 0.07323124676346779]",4700.0,0.001,cuda:0,256,42,False,20.0,44426,193.16223943396471,16.373400460055564,0.9702510237693787,-1.0666372776031494,0.16947174072265625,/n/home12/ishapira/git_connection/TinyML-RegulizationAndQuantization/results/ishapira_lenet_MNIST_l1_0.001_2023-11-18_18-40-04,
