runner_id,model_name,dataset_name,regularization,regularization_param,train_loss,test_loss,train_accuracy,test_accuracy,timestamp,epochs,lr,device,batch_size,seed,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb,quantization_method,pretrained,verbose,epoch_train_losses,epoch_test_losses,criterion_name,optimizer_name,num_epochs
itaishapira,lenet,MNIST,l2,0.001,0.1383998429854711,0.12033982678055763,95.78666666666666,96.3,2023-11-06_18-32-27,2.0,0.001,cpu,256,42,128576,1422.8833705484867,20.540734708309174,0.3341614603996277,-0.32309892773628235,0.490478515625,,,,,,,,
alexo,lenet,MNIST,l2,0.001,0.13839984053770701,0.1203398154526949,95.78666666666666,96.3,2023-11-18_11-39-30,,0.001,cpu,256,42,252175,2645.6869353353977,35.863824009895325,1.0,-0.32309892773628235,0.24785995483398438,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,l2,0.001,0.13839984058936436,0.1203398154526949,95.78666666666666,96.3,2023-11-18_11-35-15,,0.001,cpu,256,42,249627,2490.0558374226093,28.172970294952393,0.44905829429626465,-0.24814650416374207,0.23814010620117188,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,l2,0.0001,0.15847639088630677,0.14261328967809678,95.27166666666666,95.58,2023-11-06_18-33-04,2.0,0.001,cpu,256,42,128576,2441.648429632187,27.938269674777985,0.4410918653011322,-0.2988220155239105,0.490478515625,,,,,,,,
alexo,lenet,MNIST,l2,0.0001,0.1584763897895813,0.14261327978968621,95.27166666666666,95.58,2023-11-18_11-40-03,,0.001,cpu,256,42,252175,4613.857005357742,47.829755395650864,1.0,-0.2988220155239105,0.24785995483398438,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,l2,0.0001,0.158476389781634,0.14261327978968621,95.27166666666666,95.58,2023-11-18_11-36-06,,0.001,cpu,256,42,249627,4435.212550885975,40.132784225046635,0.4933028221130371,-0.2618285119533539,0.23814010620117188,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,l_infinty,0.1,0.13788260766665142,0.1214528003513813,95.70333333333333,96.15,2023-11-06_18-33-40,2.0,0.001,cpu,256,42,128576,6859.406162589788,44.64882242679596,0.41221413016319275,-0.29760226607322693,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,l_infinty,0.01,0.16904611988067628,0.15717340923547746,94.92166666666667,95.02,2023-11-06_18-34-16,2.0,0.001,cpu,256,42,128576,6723.380472302437,43.60757005214691,0.3564075827598572,-0.2937365472316742,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,l_infinty,0.001,0.12146427580515544,0.1131735184058547,96.25333333333333,96.61,2023-11-06_18-34-51,2.0,0.001,cpu,256,42,128576,6719.148330748081,43.935467287898064,0.3432345688343048,-0.34339600801467896,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,none,,0.029574267747998238,0.03711461622468196,99.04333333333334,98.74,2023-11-07_07-14-55,10.0,0.001,cpu,256,42,128576,7212.425592601299,49.1937213242054,0.41971343755722046,-0.5102354288101196,0.490478515625,,,,,,,,
alexo,lenet,MNIST,none,,0.02957426439623038,0.03711461560777388,99.04333333333334,98.74,2023-11-18_11-36-23,,0.001,cpu,256,42,252175,14064.953494250774,86.92382752895355,1.0,-0.5122363567352295,0.24785995483398438,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,none,,0.029574264579017958,0.03711461560777388,99.04333333333334,98.74,2023-11-18_11-30-34,,0.001,cpu,256,42,249627,13839.8152185902,77.87521108239889,0.48904842138290405,-0.5122363567352295,0.23814010620117188,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,batch_norm,,0.008407477353016536,0.040014848673783125,99.77666666666667,98.89,2023-11-07_07-17-41,10.0,0.001,cpu,256,42,128664,7551.218682736158,61.79473724961281,1.6085025072097778,-0.502826452255249,0.490814208984375,,,,,,,,
alexo,lenet,MNIST,batch_norm,,0.008457510361820459,0.03970449495117646,99.76,98.9,2023-11-18_11-37-15,,0.001,cpu,256,42,252263,14785.921677559614,102.51989105343819,1.6085025072097778,-0.5047982931137085,0.24819564819335938,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,batch_norm,,0.008407476783295472,0.04001484493806202,99.77666666666667,98.89,2023-11-18_11-31-53,,0.001,cpu,256,42,249717,14642.881852183491,96.2040874697268,1.6085025072097778,-0.5047982931137085,0.23848342895507812,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,layer_norm,,0.007296538895973936,0.046749741208401974,99.80166666666666,98.74,2023-11-07_07-20-25,10.0,0.001,cpu,256,42,137536,12082.137536108494,147.11200061440468,1.3365424871444702,-0.5655544996261597,0.524658203125,,,,,,,,
alexo,lenet,MNIST,layer_norm,,0.007296539194571476,0.0467497309625498,99.80166666666666,98.74,2023-11-18_11-37-33,,0.001,cpu,256,42,261135,19080.995720922947,186.27840891480446,1.3365424871444702,-0.567772388458252,0.2820396423339844,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,layer_norm,,0.007296539041399956,0.0467497309625498,99.80166666666666,98.74,2023-11-18_11-32-20,,0.001,cpu,256,42,258589,18938.793604448438,179.73385100066662,1.3365424871444702,-0.567772388458252,0.2723274230957031,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,dropout,0.3,0.030807194382945696,0.03234648702596314,99.07333333333334,99.03,2023-11-07_07-23-07,10.0,0.001,cpu,256,42,128576,14566.338676512241,91.30332607030869,0.6065596342086792,-0.9611908197402954,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,dropout,0.5,0.05177551470200221,0.04847743416633457,98.47166666666666,98.52,2023-11-07_07-25-46,10.0,0.001,cpu,256,42,128576,17826.90282213688,104.23717285692692,0.5456041097640991,-0.8494147658348083,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,dropout,0.7,0.09318686806758245,0.08264819593653083,97.35333333333334,97.56,2023-11-07_07-28-28,10.0,0.001,cpu,256,42,128576,17917.906752347946,99.26778723299503,0.5666739344596863,-0.5720281600952148,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,l1,0.1,6.729652132415771,6.72914577178955,11.236666666666666,11.35,2023-11-07_07-31-13,10.0,0.001,cpu,256,42,128576,17.670110224979,1.307342660787981,1.1188887357711792,-0.0006198478513397276,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,l1,0.01,2.364323156992594,2.364348051452637,11.236666666666666,11.35,2023-11-07_07-33-58,10.0,0.001,cpu,256,42,128576,85.9615497396444,10.535488094115863,1.438427209854126,-0.0006526346551254392,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,l1,0.001,0.1194740470647812,0.11333741947412491,96.325,96.61,2023-11-07_07-36-38,10.0,0.001,cpu,256,42,128576,261.74979305593297,15.187406593933702,0.7525362968444824,-0.5967004895210266,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,l1,0.0001,0.047713319978117945,0.0478065823379904,98.585,98.28,2023-11-07_07-39-08,10.0,0.001,cpu,256,42,128576,748.038399413228,19.566170167177916,0.5828348994255066,-0.45786240696907043,0.490478515625,,,,,,,,
itaishapira,lenet,MNIST,l2,0.1,2.3099155361175536,2.3100312618255616,11.236666666666666,11.35,2023-11-07_07-41-40,10.0,0.001,cpu,256,42,128576,141.3144568130374,4.579067209735513,0.1531599909067154,-0.13634955883026123,0.490478515625,,,,,,,,
alexo,lenet,MNIST,l2,0.1,2.3099155796051027,2.310031299209595,11.236666666666666,11.35,2023-11-18_11-38-24,,0.001,cpu,256,42,252175,254.17474514245987,9.949817698448896,1.0,-0.13634955883026123,0.24785995483398438,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,l2,0.1,2.30991559715271,2.310031299209595,11.236666666666666,11.35,2023-11-18_11-33-35,,0.001,cpu,256,42,249627,227.9179179444909,5.792647201567888,0.1531599909067154,-0.011611404828727245,0.23814010620117188,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,l2,0.01,0.13528901863098144,0.12198551453351975,96.11333333333333,96.38,2023-11-07_07-44-09,10.0,0.001,cpu,256,42,128576,521.5970454588532,12.35769627802074,0.42400801181793213,-0.3568571209907532,0.490478515625,,,,,,,,
alexo,lenet,MNIST,l2,0.01,0.1352890108982722,0.12198551076352596,96.11333333333333,96.38,2023-11-18_11-38-40,,0.001,cpu,256,42,252175,900.0014530569315,22.47844767011702,1.0,-0.3568571209907532,0.24785995483398438,dynamic_quantization,False,,,,,,
alexo,lenet,MNIST,l2,0.01,0.13528901161750156,0.12198551076352596,96.11333333333333,96.38,2023-11-18_11-34-00,,0.001,cpu,256,42,249627,829.9595564380288,15.675862984731793,0.2814338207244873,-0.21068114042282104,0.23814010620117188,static_quantization,False,,,,,,
itaishapira,lenet,MNIST,l2,0.001,0.0480876405219237,0.0470073105096817,98.55333333333333,98.41,2023-11-07_07-46-36,10.0,0.001,cpu,256,42,128576,954.6622732877731,18.41121757030487,0.4674147963523865,-0.5194569826126099,0.490478515625,,,,,,,,
alexo,lenet,MNIST,l2,0.001,0.048087637015183766,0.047007304108142856,98.55333333333333,98.41,2023-11-18_11-39-14,,0.001,cpu,256,42,252175,1675.0026349127293,31.893595933914185,1.0,-0.5194569826126099,0.24785995483398438,dynamic_quantization,False,,,,,,
