runner_id,model_name,dataset_name,regularization,regularization_param,train_loss,test_loss,train_accuracy,test_accuracy,timestamp,epochs,lr,device,batch_size,seed,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb,quantization_method,pretrained,verbose,epoch_train_losses,epoch_test_losses,criterion_name,optimizer_name,num_epochs
ishapira,resnet18,CIFAR-10,l1,0.01,2.3025853191375734,2.3025853408813477,10.0,10.0,2023-11-18_14-13-37,20.0,0.001,cuda:0,256,42,11172042,1385.9694941290654,1.852066410239786,0.0010588668519631028,-0.001733452663756907,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l1,0.1,2.30258504737854,2.302584997558594,10.0,10.0,2023-11-18_14-07-49,20.0,0.001,cuda:0,256,42,11172042,1386.8988893085625,1.8520058288122527,0.000664366118144244,-0.0006526572396978736,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l1,0.1,2.30258504737854,2.302584997558594,10.0,10.0,2023-11-18_14-07-58,20.0,0.001,cuda:0,256,42,11172042,1386.8988893085625,1.8520058288122527,0.000664366118144244,-0.0006526572396978736,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.0001,0.09802395303010941,1.4116252960205078,96.778,71.55,2023-11-18_14-52-23,20.0,0.001,cuda:0,256,42,11172042,43197.73329401016,202.95937991142273,0.4710713326931,-0.4782494902610779,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.0001,0.09802395303010941,1.4116252960205078,96.778,71.55,2023-11-18_14-53-15,20.0,0.001,cuda:0,256,42,11172042,43197.73329401016,202.95937991142273,0.4710713326931,-0.4782494902610779,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.0005,0.1597382539844513,1.0671106874465943,94.64,73.72,2023-11-18_14-57-57,20.0,0.001,cuda:0,256,42,11172042,16739.63955450058,110.8232451081276,0.4005109667778015,-0.312115877866745,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.0005,0.1597382539844513,1.0671106874465943,94.64,73.72,2023-11-18_14-58-55,20.0,0.001,cuda:0,256,42,11172042,16739.63955450058,110.8232451081276,0.4005109667778015,-0.312115877866745,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.001,0.3217996944999695,0.8361646119117737,88.774,74.66,2023-11-18_14-46-49,20.0,0.001,cuda:0,256,42,11172042,9760.72080874443,78.45433235168457,0.3922814130783081,-0.3162399232387543,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.001,0.3217996944999695,0.8361646119117737,88.774,74.66,2023-11-18_14-47-35,20.0,0.001,cuda:0,256,42,11172042,9760.72080874443,78.45433235168457,0.3922814130783081,-0.3162399232387543,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.01,1.2614798070526123,1.2892639171600342,53.19,53.28,2023-11-18_14-41-14,20.0,0.001,cuda:0,256,42,11172042,1448.8065674304962,23.820667192339897,0.26143205165863037,-0.24282169342041016,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.01,1.2614798070526123,1.2892639171600342,53.19,53.28,2023-11-18_14-41-55,20.0,0.001,cuda:0,256,42,11172042,1448.8065674304962,23.820667192339897,0.26143205165863037,-0.24282169342041016,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.1,2.3025889274597167,2.302588920211792,10.0,10.0,2023-11-18_14-35-40,20.0,0.001,cuda:0,256,42,11172042,5.860564184695249,0.11012693779775873,0.006169378757476807,-0.003989955876022577,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l2,0.1,2.3025889274597167,2.302588920211792,10.0,10.0,2023-11-18_14-36-15,20.0,0.001,cuda:0,256,42,11172042,5.860564184695249,0.11012693779775873,0.006169378757476807,-0.003989955876022577,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l_infinty,0.001,0.08228482166290284,1.608766020965576,97.286,69.38,2023-11-18_15-14-25,20.0,0.001,cuda:0,256,42,11172042,305762.1170141697,570.4744907617569,0.5386362075805664,-0.5496589541435242,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l_infinty,0.001,0.08228482166290284,1.608766020965576,97.286,69.38,2023-11-18_15-15-37,20.0,0.001,cuda:0,256,42,11172042,305762.1170141697,570.4744907617569,0.5386362075805664,-0.5496589541435242,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l_infinty,0.01,0.08723080849647522,1.5883058153152465,97.168,68.87,2023-11-18_15-08-55,20.0,0.001,cuda:0,256,42,11172042,314015.2084611654,586.8006480336189,0.5872116088867188,-0.6634835004806519,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l_infinty,0.01,0.08723080849647522,1.5883058153152465,97.168,68.87,2023-11-18_15-10-04,20.0,0.001,cuda:0,256,42,11172042,314015.2084611654,586.8006480336189,0.5872116088867188,-0.6634835004806519,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l_infinty,0.1,0.09816951249361038,1.6652877477645873,96.812,69.02,2023-11-18_15-03-26,20.0,0.001,cuda:0,256,42,11172042,305803.4162416458,568.7935367226601,0.5735265612602234,-0.610370934009552,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,l_infinty,0.1,0.09816951249361038,1.6652877477645873,96.812,69.02,2023-11-18_15-04-30,20.0,0.001,cuda:0,256,42,11172042,305803.4162416458,568.7935367226601,0.5735265612602234,-0.610370934009552,42.617958068847656,,False,,,,,,
ishapira,resnet18,CIFAR-10,none,,2.307241887512207,2.3072419204711916,10.0,10.0,2023-11-18_11-59-09,100.0,0.1,cuda:0,128,42,11679912,2550804.8071289062,5442.834278106689,4.754021644592285,-19.132516860961914,44.555328369140625,,False,,,,,,
ishapira,resnet18,CIFAR-10,none,,0.07689098008155823,1.5548721128463745,97.512,70.28,2023-11-18_13-45-33,20.0,0.001,cuda:0,256,42,11679912,307844.7618217468,604.6196841001511,0.5943582653999329,-1.1360790729522705,44.555328369140625,,False,,,,,,
ishapira,resnet18,CIFAR-10,none,,0.07689098008155823,1.5548721128463745,97.512,70.28,2023-11-18_13-45-34,20.0,0.001,cuda:0,256,42,11679912,307844.7618217468,604.6196841001511,0.5943582653999329,-1.1360790729522705,44.555328369140625,,False,,,,,,
itaishapira,lenet,MNIST,{},,2.308606346766154,2.309087406158447,9.751666666666667,9.74,2023-11-18_16-37-11,,0.1,cpu,128,42,128576,98083.66256260872,589.4710239171982,1.7828706502914429,-4.038273334503174,0.490478515625,,False,True,[2.308606346766154],[2.309087406158447],,,
itaishapira,lenet,MNIST,{},,2.308606346766154,2.309087406158447,9.751666666666667,9.74,2023-11-18_16-42-38,,0.1,cpu,128,42,128576,98083.66256260872,589.4710239171982,1.7828706502914429,-4.038273334503174,0.490478515625,,False,True,[2.308606346766154],[2.309087406158447],,,
itaishapira,lenet,MNIST,{},,2.315514893722534,2.3145704246520995,9.751666666666667,9.74,2023-11-18_16-48-49,,0.1,cpu,128,42,128576,106769.70907521248,695.8641656637192,2.368762493133545,-6.91300106048584,0.490478515625,,False,True,"[2.308606346766154, 2.3097591921488445, 2.315514893722534]","[2.309087406158447, 2.3093481353759766, 2.3145704246520995]",CrossEntropyLoss,Adam,3.0
