runner_id,model_name,dataset_name,regularization,regularization_param,train_loss,test_loss,train_accuracy,test_accuracy,timestamp,epochs,lr,device,batch_size,seed,pretrained,total_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb
ishapira,resnet18,CIFAR-10,l_infinty,0.001,0.08228482166290284,1.608766020965576,97.286,69.38,2023-11-18_15-14-25,20,0.001,cuda:0,256,42,False,11172042,305703.54352784157,570.4744926691055,0.5386362075805664,-0.5496589541435242,42.617958068847656
itaishapira,lenet,MNIST,dropout,0.3,0.030807194382945696,0.03234648702596314,99.07333333333334,99.03,2023-11-07_07-23-07,10,0.001,cpu,256,42,,128576,14566.277153074741,91.30332463979721,0.6065596342086792,-0.9611908197402954,0.490478515625
ishapira,resnet18,CIFAR-10,none,,0.07689098008155823,1.5548721128463745,97.512,70.28,2023-11-18_13-45-34,20,0.001,cuda:0,256,42,False,11679912,307789.4666557312,604.619668841362,0.5943582653999329,-1.1360790729522705,44.555328369140625
itaishapira,lenet,MNIST,dropout,0.7,0.09318686806758245,0.08264819593653083,97.35333333333334,97.56,2023-11-07_07-28-28,10,0.001,cpu,256,42,,128576,17917.905775785446,99.26778699457645,0.5666739344596863,-0.5720281600952148,0.490478515625
itaishapira,lenet,FashionMNIST,batch_norm,,0.18468367161750793,0.2991401083469391,93.225,89.76,2023-11-07_08-17-47,10,0.001,cpu,256,42,,128664,8430.725042641163,65.08057149499655,1.2140557765960693,-0.694479763507843,0.490814208984375
itaishapira,lenet,FashionMNIST,l1,0.01,2.3674051342010496,2.367405160522461,10.0,10.0,2023-11-07_08-32-52,10,0.001,cpu,256,42,,128576,87.21926331642317,10.478142804757226,1.4043956995010376,-0.0006535786669701338,0.490478515625
ishapira,resnet18,CIFAR-10,l1,0.01,2.3025853191375734,2.3025853408813477,10.0,10.0,2023-11-18_14-13-23,20,0.001,cuda:0,256,42,False,11172042,1385.3862545737065,1.8520664214156568,0.0010588668519631028,-0.001733452663756907,42.617958068847656
itaishapira,lenet,MNIST,l_infinty,0.1,0.13788260766665142,0.1214528003513813,95.70333333333333,96.15,2023-11-06_18-33-40,2,0.001,cpu,256,42,,128576,6859.402256339788,44.64882251620293,0.41221413016319275,-0.29760226607322693,0.490478515625
ishapira,resnet18,CIFAR-10,l1,0.1,2.30258504737854,2.302584997558594,10.0,10.0,2023-11-18_14-07-58,20,0.001,cuda:0,256,42,False,11172042,1386.303015952697,1.8520058269496076,0.000664366118144244,-0.0006526572396978736,42.617958068847656
ishapira,resnet18,CIFAR-10,dropout,0.5,0.24736562006950377,1.0432341145515442,93.258,69.31,2023-11-18_13-56-45,20,0.001,cuda:0,256,42,False,11172042,294857.03354144096,556.0683057904243,0.5974403619766235,-0.6121756434440613,42.617958068847656
