runner_id,model_name,dataset_name,regularization,regularization_param,train_loss,test_loss,train_accuracy,test_accuracy,timestamp,lr,device,batch_size,seed,pretrained,total_weights,total_trainable_weights,l1_norm,l2_norm,max_weight,min_weight,model_size_mb,quantization_method,criterion_name,optimizer_name,verbose,epoch_train_losses,epoch_test_losses,iterations,num_epochs
ishapira,resnet18,CIFAR-10,l_infinty,0.001,0.08228482166290284,1.608766020965576,97.286,69.38,2023-11-18_15-14-25,0.001,cuda:0,256,42,False,11172042,0,305703.54352784157,570.4744926691055,0.5386362075805664,-0.5496589541435242,42.617958068847656,,,,,,,,20.0
itaishapira,lenet,MNIST,dropout,0.3,0.030807194382945696,0.03234648702596314,99.07333333333334,99.03,2023-11-07_07-23-07,0.001,cpu,256,42,,128576,0,14566.277153074741,91.30332463979721,0.6065596342086792,-0.9611908197402954,0.490478515625,,,,,,,,10.0
ishapira,resnet18,CIFAR-10,none,,0.07689098008155823,1.5548721128463745,97.512,70.28,2023-11-18_13-45-34,0.001,cuda:0,256,42,False,11679912,0,307789.4666557312,604.619668841362,0.5943582653999329,-1.1360790729522705,44.555328369140625,,,,,,,,20.0
itaishapira,lenet,MNIST,dropout,0.7,0.09318686806758245,0.08264819593653083,97.35333333333334,97.56,2023-11-07_07-28-28,0.001,cpu,256,42,,128576,0,17917.905775785446,99.26778699457645,0.5666739344596863,-0.5720281600952148,0.490478515625,,,,,,,,10.0
itaishapira,lenet,FashionMNIST,batch_norm,,0.18468367161750793,0.2991401083469391,93.225,89.76,2023-11-07_08-17-47,0.001,cpu,256,42,,128664,0,8430.725042641163,65.08057149499655,1.2140557765960693,-0.694479763507843,0.490814208984375,,,,,,,,10.0
ishapira,lenet,MNIST,{'l1': 0.001},0.001,0.07784860464334488,0.07323124676346779,97.61166666666666,97.68,2023-11-18_18-40-04,0.001,cuda:0,256,42,False,44426,0,193.16223943396471,16.373400460055564,0.9702510237693787,-1.0666372776031494,0.16947174072265625,,CrossEntropyLoss,Adam,True,"[0.27880276387532554, 0.17006226944128672, 0.13984875510931016, 0.14273973226149878, 0.11685490039189657, 0.10825991241137187, 0.10727693824768067, 0.10475962688128153, 0.101613860587279, 0.09328721878528595, 0.0992658926864465, 0.0866543523311615, 0.09233620018164317, 0.08624755606651306, 0.09335619865457218, 0.0910210173557202, 0.08483460804224015, 0.08470196880896887, 0.08081367122332254, 0.07784860464334488]","[0.26641718484163285, 0.15252062709927558, 0.12893406230211257, 0.12931743620634079, 0.10304665446281433, 0.1017937189385295, 0.09663057926297187, 0.0966013168424368, 0.09327937916219234, 0.08499993021339178, 0.08970586819648743, 0.07799519576728343, 0.08384191104918719, 0.07802625220865012, 0.086508990123868, 0.08528945273160934, 0.08042503170371056, 0.08221095396578312, 0.0768792164772749, 0.07323124676346779]",4700.0,20.0
itaishapira,lenet,FashionMNIST,l1,0.01,2.3674051342010496,2.367405160522461,10.0,10.0,2023-11-07_08-32-52,0.001,cpu,256,42,,128576,0,87.21926331642317,10.478142804757226,1.4043956995010376,-0.0006535786669701338,0.490478515625,,,,,,,,10.0
ishapira,resnet18,CIFAR-10,l1,0.01,2.3025853191375734,2.3025853408813477,10.0,10.0,2023-11-18_14-13-23,0.001,cuda:0,256,42,False,11172042,0,1385.3862545737065,1.8520664214156568,0.0010588668519631028,-0.001733452663756907,42.617958068847656,,,,,,,,20.0
itaishapira,lenet,MNIST,l_infinty,0.1,0.13788260766665142,0.1214528003513813,95.70333333333333,96.15,2023-11-06_18-33-40,0.001,cpu,256,42,,128576,0,6859.402256339788,44.64882251620293,0.41221413016319275,-0.29760226607322693,0.490478515625,,,,,,,,2.0
ishapira,resnet18,CIFAR-10,l1,0.1,2.30258504737854,2.302584997558594,10.0,10.0,2023-11-18_14-07-58,0.001,cuda:0,256,42,False,11172042,0,1386.303015952697,1.8520058269496076,0.000664366118144244,-0.0006526572396978736,42.617958068847656,,,,,,,,20.0
ishapira,lenet,MNIST,{'l2': 0.001},0.001,0.03147182580083609,0.03704652084317058,99.08333333333333,98.75,2023-11-18_19-25-21,0.001,cuda:0,256,42,False,44426,0,990.1242638081312,18.061125453561544,0.5941080451011658,-0.4753252863883972,0.16947174072265625,,CrossEntropyLoss,Adam,True,"[0.16866016573111217, 0.10811090284983317, 0.07621317119995753, 0.07906328702171643, 0.06338806123336156, 0.04800134160916011, 0.0588832867304484, 0.04341511000941197, 0.039478645627200604, 0.038874982605377834, 0.0430290774444739, 0.04815406796932221, 0.032813927112023036, 0.03935447888423999, 0.03402934924165408, 0.030195147622625033, 0.03836039262761672, 0.03500832805434863, 0.030965398402015367, 0.03147182580083609]","[0.1561870591402054, 0.09754151374101638, 0.06861268707923592, 0.07411297109574079, 0.05803146595619619, 0.04476439497359097, 0.05655554189179093, 0.04453040442503989, 0.039562581598758695, 0.0411871492959559, 0.04985552194043994, 0.050467174009233715, 0.03585081312712282, 0.04417590189240873, 0.03723287984207273, 0.033984760591574015, 0.04406053802957758, 0.03703268235102296, 0.0356424145616591, 0.03704652084317058]",4700.0,20.0
ishapira,resnet18,CIFAR-10,dropout,0.5,0.24736562006950377,1.0432341145515442,93.258,69.31,2023-11-18_13-56-45,0.001,cuda:0,256,42,False,11172042,0,294857.03354144096,556.0683057904243,0.5974403619766235,-0.6121756434440613,42.617958068847656,,,,,,,,20.0
