device is cuda:0
Files already downloaded and verified
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    initial_lr: 0.0005
    lr: 0.0005
    maximize: False
    momentum: 0.9
    nesterov: False
    weight_decay: 0
)
Epoch 91/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 92/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 93/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 94/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 95/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 96/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 97/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 98/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 99/100 - Train Loss: 2.3026, Test Loss: 2.3026
Epoch 100/100 - Train Loss: 2.3026, Test Loss: 2.3026
total size: 42.617958068847656
